klasse,datei,split
Allgäuer Bügel 20x0.50l,19700101_045726_1087.jpg,train
Allgäuer Bügel 20x0.50l,19700101_045738_1089.jpg,train
Allgäuer Bügel 20x0.50l,19700101_045739_1091.jpg,train
Allgäuer Bügel 20x0.50l,19700101_045740_1092.jpg,train
Allgäuer Bügel 20x0.50l,19700101_045726_1086.jpg,val
Allgäuer Bügel 20x0.50l,19700101_045738_1090.jpg,val
Allgäuer Bügel 20x0.50l,19700101_045722_1081.jpg,test
Allgäuer Bügel 20x0.50l,19700101_045722_1082.jpg,test
Bayr. Brauhaus 20x0.50l,19700101_015522_0211.jpg,train
Bayr. Brauhaus 20x0.50l,19700101_015502_0205.jpg,train
Bayr. Brauhaus 20x0.50l,19700101_015510_0208.jpg,train
Bayr. Brauhaus 20x0.50l,19700101_015516_0209.jpg,train
Bayr. Brauhaus 20x0.50l,19700101_015227_0193.jpg,train
Bayr. Brauhaus 20x0.50l,19700101_015506_0206.jpg,train
Bayr. Brauhaus 20x0.50l,19700101_015508_0207.jpg,val
Bayr. Brauhaus 20x0.50l,19700101_015549_0213.jpg,val
Bayr. Brauhaus 20x0.50l,19700101_015547_0212.jpg,test
Bayr. Brauhaus 20x0.50l,19700101_015459_0204.jpg,test
Beck´s Bier 20x0.50l,19700101_014613_0151.jpg,train
Beck´s Bier 20x0.50l,19700101_014619_0154.jpg,train
Beck´s Bier 20x0.50l,19700101_014629_0156.jpg,train
Beck´s Bier 20x0.50l,19700101_015130_0168.jpg,train
Beck´s Bier 20x0.50l,19700101_014622_0155.jpg,train
Beck´s Bier 20x0.50l,19700101_014611_0150.jpg,train
Beck´s Bier 20x0.50l,19700101_014617_0153.jpg,val
Beck´s Bier 20x0.50l,19700101_014609_0148.jpg,val
Beck´s Bier 20x0.50l,19700101_014633_0157.jpg,test
Beck´s Bier 20x0.50l,19700101_014615_0152.jpg,test
Bitburger 24x0.33l,19700101_042835_0936.jpg,train
Bitburger 24x0.33l,19700101_042830_0932.jpg,train
