durchgang,nr,beleuchtung,klasse_nr,gebindetyp,erkannt,konfidenz,richtig,verarbeitungszeit_ms,wartezeit_ms
1,1,ja,24,"Rheinfels PET 12 × 1,00 l","Rheinfels PET 12 × 1,00 l",0.96,ja,,
1,2,ja,12,"Hansa 20 × 0,50 l","Hansa 20 × 0,50 l",1.00,ja,,
1,3,ja,15,"Kromb. Radler 24 × 0,33 l","Kromb. Radler 24 × 0,33 l",0.99,ja,,
1,4,ja,11,"Gerolsteiner PET 12 × 1,00 l","Gerolsteiner PET 12 × 1,00 l",1.00,ja,,
1,5,ja,8,"Coca Cola PET 12 × 1,00 l","Coca Cola PET 12 × 1,00 l",1.00,ja,,
1,6,ja,23,"Reissdorf Dsp 24 × 0,33 l","Reissdorf Dsp 24 × 0,33 l",0.96,ja,,
1,7,ja,25,"Salvus Pet-Cycle 12 × 1,00 l","Salvus Pet-Cycle 12 × 1,00 l",1.00,ja,,
1,8,ja,2,"Bayr. Brauhaus 20 × 0,50 l","Bayr. Brauhaus 20 × 0,50 l",0.99,ja,,
1,9,ja,9,"Diebels 24 × 0,33 l","Diebels 24 × 0,33 l",0.94,ja,,
1,10,ja,3,"Beck's Bier 20 × 0,50 l","Beck's Bier 20 × 0,50 l",1.00,ja,,
2,1,ja,18,"Oscar Maxxum 20 × 0,50 l","Oscar Maxxum 20 × 0,50 l",0.93,ja,,
2,2,ja,30,"Vita Malz 24 × 0,33 l","Vita Malz 24 × 0,33 l",1.00,ja,,
2,3,ja,8,"Coca Cola PET 12 × 1,00 l","Coca Cola PET 12 × 1,00 l",0.99,ja,,
2,4,ja,22,"Reissdorf 24 × 0,33 l","Reissdorf 24 × 0,33 l",0.99,ja,,
2,5,ja,11,"Gerolsteiner PET 12 × 1,00 l","Gerolsteiner PET 12 × 1,00 l",1.00,ja,,
2,6,ja,25,"Salvus Pet-Cycle 12 × 1,00 l","Salvus Pet-Cycle 12 × 1,00 l",1.00,ja,,
2,7,ja,3,"Beck's Bier 20 × 0,50 l","Beck's Bier 20 × 0,50 l",1.00,ja,,
2,8,ja,6,"Budweiser 20 × 0,50 l","Budweiser 20 × 0,50 l",0.99,ja,,
2,9,ja,13,"Haus Cramer Offen 24 × 0,33 l","Haus Cramer Offen 24 × 0,33 l",0.84,ja,,
2,10,ja,9,"Diebels 24 × 0,33 l","Diebels 24 × 0,33 l",0.99,ja,,
3,1,ja,20,"Paulaner Teilbar 20 × 0,50 l","Paulaner Teilbar 20 × 0,50 l",1.00,ja,,
3,2,ja,1,"Allgäuer Bügel 20 × 0,50 l","Allgäuer Bügel 20 × 0,50 l",1.00,ja,,
3,3,ja,19,"Paulaner Spezi 20 × 0,50 l","Paulaner Spezi 20 × 0,50 l",1.00,ja,,
3,4,ja,3,"Beck's Bier 20 × 0,50 l","Beck's Bier 20 × 0,50 l",1.00,ja,,
3,5,ja,25,"Salvus Pet-Cycle 12 × 1,00 l","Salvus Pet-Cycle 12 × 1,00 l",1.00,ja,,
3,6,ja,27,"Stauder 20 × 0,50 l","Stauder 20 × 0,50 l",0.99,ja,,
3,7,ja,28,"Stauder Dsp 20 × 0,50 l","Stauder Dsp 20 × 0,50 l",1.00,ja,,
3,8,ja,17,"Nürburg Quelle Pet-Cycle 12 × 1,00 l","Nürburg Quelle Pet-Cycle 12 × 1,00 l",1.00,ja,,
3,9,ja,10,"Gerolsteiner 24 × 0,25 l","Gerolsteiner 24 × 0,25 l",0.99,ja,,
3,10,ja,5,"Brinkhoffs 20 × 0,50 l","Brinkhoffs 20 × 0,50 l",1.00,ja,,
4,1,ja,14,"Jever 24 × 0,33 l","Jever 24 × 0,33 l",0.98,ja,,
4,2,ja,8,"Coca Cola PET 12 × 1,00 l","Coca Cola PET 12 × 1,00 l",0.99,ja,,
4,3,ja,25,"Salvus Pet-Cycle 12 × 1,00 l","Salvus Pet-Cycle 12 × 1,00 l",1.00,ja,,
4,4,ja,6,"Budweiser 20 × 0,50 l","Budweiser 20 × 0,50 l",1.00,ja,,
4,5,ja,13,"Haus Cramer Offen 24 × 0,33 l","Haus Cramer Offen 24 × 0,33 l",0.97,ja,,
4,6,ja,23,"Reissdorf Dsp 24 × 0,33 l","Reissdorf Dsp 24 × 0,33 l",0.95,ja,,
4,7,ja,9,"Diebels 24 × 0,33 l","Diebels 24 × 0,33 l",0.94,ja,,
