epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,34.1139,3.5692,0.01613,0.17742,3.46102,8.73889e-05,8.73889e-05,8.73889e-05
2,42.201,3.38506,0.20968,0.54839,3.12411,0.000182119,0.000182119,0.000182119
3,56.6717,3.16972,0.62903,0.8871,2.86132,0.00027622,0.00027622,0.00027622
4,70.6808,2.90461,0.80645,0.95161,2.51509,0.000283169,0.000283169,0.000283169
5,84.3525,2.62643,0.87097,0.98387,2.09371,0.000282225,0.000282225,0.000282225
6,97.7709,2.28682,0.95161,1,1.6321,0.000281281,0.000281281,0.000281281
7,111.024,2.03586,0.96774,1,1.21774,0.000280337,0.000280337,0.000280337
8,123.942,1.64967,0.98387,1,0.90162,0.000279393,0.000279393,0.000279393
9,137.111,1.3462,1,1,0.63303,0.00027845,0.00027845,0.00027845
10,150.073,1.12402,1,1,0.41316,0.000277506,0.000277506,0.000277506
11,163.769,0.77549,1,1,0.25168,0.000276562,0.000276562,0.000276562
12,177.108,0.70806,1,1,0.14508,0.000275618,0.000275618,0.000275618
13,190.695,0.52281,1,1,0.08595,0.000274674,0.000274674,0.000274674
14,204.257,0.33726,1,1,0.05694,0.000273731,0.000273731,0.000273731
15,218.002,0.35847,1,1,0.03666,0.000272787,0.000272787,0.000272787
16,231.621,0.23532,1,1,0.02733,0.000271843,0.000271843,0.000271843
17,245.401,0.25709,1,1,0.02093,0.000270899,0.000270899,0.000270899
18,258.772,0.23032,1,1,0.01587,0.000269955,0.000269955,0.000269955
19,272.171,0.2288,1,1,0.01283,0.000269012,0.000269012,0.000269012
20,285.933,0.15062,1,1,0.01015,0.000268068,0.000268068,0.000268068
21,299.766,0.1856,1,1,0.00902,0.000267124,0.000267124,0.000267124
22,312.659,0.10872,1,1,0.00796,0.00026618,0.00026618,0.00026618
23,325.375,0.16363,1,1,0.00762,0.000265236,0.000265236,0.000265236
24,338.16,0.10288,1,1,0.00742,0.000264293,0.000264293,0.000264293
25,351.577,0.10369,1,1,0.00656,0.000263349,0.000263349,0.000263349
26,365.703,0.09201,1,1,0.00652,0.000262405,0.000262405,0.000262405
27,379.353,0.13595,1,1,0.00645,0.000261461,0.000261461,0.000261461
28,392.517,0.08706,1,1,0.00607,0.000260517,0.000260517,0.000260517
29,406.206,0.11684,1,1,0.00526,0.000259574,0.000259574,0.000259574
30,419.555,0.08294,1,1,0.00476,0.00025863,0.00025863,0.00025863
31,433.066,0.11484,1,1,0.00362,0.000257686,0.000257686,0.000257686
32,446.182,0.07019,1,1,0.0032,0.000256742,0.000256742,0.000256742
33,459.667,0.10702,1,1,0.00328,0.000255798,0.000255798,0.000255798
34,472.999,0.08547,1,1,0.00341,0.000254855,0.000254855,0.000254855
35,486.591,0.08289,1,1,0.00268,0.000253911,0.000253911,0.000253911
36,500.079,0.08097,1,1,0.00286,0.000252967,0.000252967,0.000252967
37,513.812,0.12056,1,1,0.00334,0.000252023,0.000252023,0.000252023
38,527.578,0.09689,1,1,0.00267,0.000251079,0.000251079,0.000251079
39,541.471,0.06164,1,1,0.00293,0.000250136,0.000250136,0.000250136
40,555.367,0.06262,1,1,0.003,0.000249192,0.000249192,0.000249192
41,568.867,0.11028,1,1,0.00293,0.000248248,0.000248248,0.000248248
42,582.079,0.07108,1,1,0.00274,0.000247304,0.000247304,0.000247304
43,595.183,0.03798,1,1,0.00264,0.00024636,0.00024636,0.00024636
44,608.027,0.08162,1,1,0.00301,0.000245417,0.000245417,0.000245417
45,621.052,0.0374,1,1,0.00346,0.000244473,0.000244473,0.000244473
46,633.738,0.07517,1,1,0.00319,0.000243529,0.000243529,0.000243529
47,646.569,0.07634,1,1,0.00264,0.000242585,0.000242585,0.000242585
48,659.638,0.0565,1,1,0.00195,0.000241641,0.000241641,0.000241641
49,672.525,0.07777,1,1,0.00194,0.000240698,0.000240698,0.000240698
